"各行其是","行：做，办。是：对的，正确的。各人都按照自己认为对的去做。指思想不统一，行为不一致。"
"旷日持久","耽搁时日，持续很久。多表示处于胶着状态，空耗时日而无进展。"
"力不从心","从：顺从。心里想做，可是能力不够。"
"异军突起","异军：另一支军队。比喻引人注目的一支力量突然崛起，独树一帜。"
"家喻户晓","喻：明白。晓：知道。家家全明白，户户都知道。形容人人皆知。"
"耳濡目染","濡：沾染。染：感染。耳朵和眼睛经常接触到。形容由于听得多、看得多，不知不觉地受到感染和影响。"
"丰衣足食","穿的吃的都很丰富充足。形容生活富裕。"
"势如累卵","形势如同蛋上重叠着蛋。形容非常危险。"
"无所作为","不须着意做作。谓安于现状，不想作出什么成绩。"
"高屋建瓴","1.在高房顶上把瓶子里的水往下倒（一说在高房顶上顺着瓦沟向下倒水）。形容居高临下。 2.形容高瞻远瞩。"
"相视莫逆","形容彼此间友谊深厚，无所违逆于心。"
"无所顾忌","没有什么顾虑和惧怕。形容什么都不怕。"
"疾言厉色","说话急促，神色严厉。形容发怒或情绪激动的样子。"
"昙花一现","昙花：花白而香，开花时间很短。比喻人或事物存在的时间非常短暂，刚一出现就消失了。"
"无出其右","指在某方面才能出众，没有能超过他（之上）的。"
"半途而废","废：停止。半路上停下来不再前进。比喻做事情有始无终。"
"锦衣玉食","1.华丽的衣服，珍贵的食物。代指富足豪华的生活。 2.穿华丽衣服，吃珍贵食物。指过富足豪华的生活。"
"一步之遥","仅仅一步那么远。指很近的距离。"
"和衷共济","大家团结一致，共同渡过江河。比喻齐心协力，共同克服困难。"
"齐心协力","协力：合力。形容思想一致，共同努力。"
"鱼目混珠","混：混同，冒充。拿鱼眼睛混在珍珠里面。比喻以假充真。"
"久久为功","指要持之以恒，锲而不舍，驰而不息。"
"眼花缭乱","指看见纷繁、耀眼或震动人心的事物而感到迷乱。"
"赏心悦目","赏心：使心情欢畅。悦目：看了舒服。形容看了美好的景象或形象而使人心情欢畅、愉快。"
"各有所长","各有各的长处。"
"进退维谷","维：文言虚词，相当于“是”。谷：山谷，比喻困境。无论前进还是后退，都处在困境之中。形容进退两难。"
"高瞻远瞩","瞻：向上或向前看。瞩：注视。站得高，看得远。形容眼光远大。"
"无关紧要","与紧要事无关。指不重要，关系不大。"
"略逊一筹","略微差一个筹码。指相对来说稍微差一些。"
"激浊扬清","冲去污水，让清水上来。"
"自欺欺人","欺骗了自己，也欺骗了别人。指用自己也难以相信的东西来欺骗别人。"
"肥马轻裘","肥壮的马匹，轻暖的皮衣。"
"归根结底","归结到根本上。"
"风靡一时","风靡：流行，盛行。形容在一段时期里很盛行。"
"炙手可热","手摸上去感到热得烫人。"
"翘首以待","抬起头来仰望等待。形容急切等待。"
"刻骨铭心","像镂刻在骨头和心上。形容感受深切，永远不忘。"
"釜底抽薪","釜：锅。薪：柴。从锅底抽去柴火，使烧热的东西冷却。比喻克服、消除起决定作用的主要因素，从根本上解决问题。"
"养尊处优","养：指生活。尊：高贵。处：处于，过着。优：优裕。处于高贵的地位，过着悠闲富裕的生活。"
"委曲求全","委曲：迁就，曲从。指勉强迁就以求保全，或为了顾全大局而暂时忍让。"
"落井下石","下：放下，扔下。见人掉在井里不去相救，反而往井里扔石头。比喻在别人危难时，加以陷害和打击。"
"短兵相接","敌我逼近，用短兵器交战。"
"千方百计","方：方法，办法。计：计策，计谋。1. 想尽一切办法，用尽所有的计谋。 2. 指各种各样的办法和计谋。"
"面目全非","面目：面貌，样子。非：不同，不是。样子和过去完全不一样。形容变化很大。"
"一步登天","一步跨上青天。"
"前功尽弃","功：功劳，成绩。尽：全部。弃：丢弃。以前的努力和功劳全都白费了。"
"如梦初醒","好像刚从梦中醒过来，形容刚刚从糊涂、错误的境地中觉醒过来。"
"坐享其成","坐：不出力。享：享受。成：成果。不出力而享受别人的劳动成果。"
"矫枉过正","矫：纠正，扭转。枉：弯曲，借指偏差或错误。过：超过限度。正：直。把弯曲的东西扭直，结果扭过了头，又歪向另一边。比喻纠正偏差或错误超过了应有的限度，陷于另一种偏差或错误之中。"
"当之无愧","当：承受。指承受某种荣誉或称号，毫不惭愧。"
"不相上下","两者分不出高低、优劣、好坏等。"
"讳莫如深","讳：隐瞒。莫：没有什么。隐瞒得没有比这更深的了。原指因事情重大而隐瞒不说。后指有事紧紧相瞒，不说出来。"
"袖手旁观","在一旁观看，把手缩在袖子里。"
"连绵不断","形容连续不止，从不中断。"
"步步为营","步步：一步一步，表示距离近。营：营垒。军队每向前一步就建立一个营垒。比喻做事谨慎，稳扎稳打。"
"经天纬地","指谋划天下之事，多用来形容人才能极大。"
"三心二意","一会儿想这个，一会儿想那个。形容犹豫不决或心思不专一。"
"无所事事","闲着什么事都不干。"
"不一而足","指同类的事物不只一个而是很多，无法列举齐全。"
"轻车熟路","驾着轻便的车在熟路上走。"
"削足适履","1.因为鞋小脚大，就把脚削去一块来适应鞋的大小。比喻生搬硬套，不恰当地迁就现成条件。 2.比喻不顾实际情况，勉强将就或凑合。"
"一鸣惊人","一叫就使人震惊。"
"茅塞顿开","茅塞：茅草堵塞无人走的路。顿：立刻。开：开通，通顺。被茅草阻塞的路一下子打通了。比喻思路突然畅通，理解、领悟了某种道理，解开了心中的疑问。"
"丰富多彩","内容丰富，形式多样，十分精彩。"
"不容置疑","置疑：加以怀疑。不容许怀疑。形容非常真实可靠。"
"独出心裁","另外想出与别人不一样的办法和主意。指想法独具一格，与众不同。"
"天差地别","形容两种或多种事物之间的差距很大，就像天和地之间的距离一样。"
"扬长避短","扬：发扬。避：避开。发扬长处，避开短处。"
"置身事外","把自己放在事情之外。指对事情不闻不问，毫不关心。"
"大而化之","1.原指发扬光大高尚的美德以化育万民。 2.形容马虎粗疏。"
"绘声绘色","把人或事物的声音、色彩等都描摹出来。形容叙事或描写得非常生动、逼真。"
"锦上添花","在锦上再绣花。"
"众所周知","周：普遍。大家都知道。"
"披荆斩棘","披、斩：拨开，劈开。荆、棘：荆棘，丛生的有刺的灌木。劈开荆棘。比喻克服前进道路上的困难或扫除前进道路上的障碍。"
"迷惑不解","使人迷惑，不可理解。"
"星罗棋布","罗：罗列。布：分布。像星星那样罗列，像棋子那样分布。形容非常多且密集。"
"平淡无奇","平平淡淡，没有什么突出或奇特的地方。"
"集腋成裘","狐狸腋下的毛皮虽小，但把许多块聚集起来就能缝制成一件皮衣。比喻积少成多。"
"拾级而上","一个台阶一个台阶地向上登。"
"管中窥豹","从竹管孔中看豹，只能看到豹子身上的一块斑纹。比喻见到的只是事物的一小部分，未能看到事物的全貌。"
"应有尽有","尽：全部。应该有的全部都有了。形容非常齐全。"
"剑走偏锋","引申义：不走常规，找一些新的、不同以往的办法来解决问题，以求出奇制胜。"
"美不胜收","胜：尽，完全。收：接收，领略。美好的东西很多，一下子来不及欣赏和接收。"
"空中楼阁","空中所显现的楼台殿阁。即海市蜃楼。"
"沽名钓誉","沽：买。钓：用饵引鱼上钩，这里指用手段骗取。比喻用矫情做作或其他不正当的手段骗取名誉。"
"稗官野史","指古代记载逸闻琐事的作品。"
"斗折蛇行","像北斗星那样曲折，像蛇爬行那样弯曲。形容道路、河流等曲折蜿蜒。"
"一脉相通","在同一个血脉间互相贯通。比喻事物间相互关联，彼此相通。"
"冷嘲热讽","冷：不热情，引申为尖刻。热：热烈，引申为辛辣。十分尖刻的嘲笑和辛辣的讽刺。"
"凄风苦雨","凄风：寒冷的风。苦雨：久下成灾的雨。形容恶劣的天气，多比喻凄惨悲凉的境遇。"
"天人合一",""
"念念不忘","念念：不断地念叨。时刻不忘记。形容时时记在心上。"
"寸步难行","1. 形容行走极为困难。 2. 形容处境十分艰难，工作无法进行。"
"和风细雨","微风习习，细雨濛濛。指令人舒适的微风小雨。"
"登高履危","登上高而险的地方。形容身处险境，诚惶诚恐。"
"闭门造车","原指只要按照同一规格，关起门来制造的车子，也能合用。后反用其意，比喻不参照客观实际，不进行调查研究，只凭主观意图办事。"
"别出心裁","心裁：心中的设计安排。另有一种构思或设计。指另出新意，与众不同。"
"独领风骚","1.指独自一人在文坛居于领袖地位。 2.泛指独自在某一领域或某一方面处于领先或杰出地位。"
"相差无几","相差没有多少。指基本相同。"
"触目皆是","触目：目光所接触到的。眼睛所看到的都是某类事物。形容数量众多。"
"混为一谈","混：混同，混杂在一起。谈：说法。把不同的人或事物不加区别地混在一起，说成是同样的。"
"自然而然","出于自然之势，不经人力干预而收到预期的成效。"
"朝思暮想","早晚都想念。形容非常想念或经常想着某一件事。"
"泾渭分明","泾河水清，渭河水浑，泾河的水流入渭河时，清浊不混。"
"沧海一粟","大海中的一粒谷子。比喻非常渺小，微不足道。"
"喧宾夺主","喧：嘈杂。夺：压倒，超过。客人的声音超过了主人。比喻主客关系颠倒。"
"尾大不掉","掉：摇动。尾巴太大，掉转不灵。旧时比喻部下的势力很大，无法指挥调度。现比喻机构庞大，指挥不灵。"
